storepath,iteration,libraryid
/nix/store/h5fpwcc784zq7qnfyndgnhnw4pm4i3j5-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0v1hxymnd2nxwff094ga64cv7jbff3vj-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/jlj4x7bqlq1aq6mxk64pa5rq28vf9fkb-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/72gg5giqpa6is3fif0qqg9hzrxk747rh-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dxlkpr5sngpqh91z0dx63pqlgdxcn3pr-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vc5pfndl1966cf2dx2sgzgqdmpig30f6-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nlhahb06491kv3gfksv4ylgcfc1hhxwk-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ppzmhgfrkw6ifhc17rh4f84cxizlmfmm-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/hy99w22fx8cb6vyvnmqq44yhchkwlczw-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/yvzn8h34zbxibqbk7n3pgyn98mp0gzb0-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/24k76fnbb7bhrhxnjnkq7khip9njv2jb-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/93wl1iffpbw9yn37v1z0v1y3lq9llvp0-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4akwhf4cg059m0p5r75fvlsw2wk3j3w4-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/f93gj9h60v4xlki5vjlvijqxa71a9c2n-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/rgj0vkq6pq3518f1w9nrpji8c1rzkwv8-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3n6m44jgmvv0kjf4bnr6ndfyjqp415s2-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/spi8pvmy9kczpzac7byxxjvgqvj6ib84-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/78h3zrm1mkf3mw6kr2r60ras1yvx8q98-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/yb5lrf9zx04xkjbh7ifj3m2ysxrdplsg-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/symm6v5b32fh6b7a0ykwkvlfvz5m840f-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/k6nbb9ssaacyr66xvprpbw11zpcd7pi4-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zmjlpsvcl9cpf586a0nvd9jrsykps59r-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/pfpcfsd8vlnkdva2zhlgxvb4av5476ds-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/xk2qag0qncbyb9radz8ffyas83ysgvxm-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zp38d1dk1g118gxyzc9hc0r526h8qir3-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
